makespan,loadBalance,flowtime,communicationCost,waitingTime
254.0,1.018036072,5734.0,380.0,1162.0
220.0,1.0,6119.0,312.0,981.0
245.0,1.020833333,5991.0,295.0,1151.0
263.0,1.017408124,6121.0,365.0,1191.0
215.0,1.099744246,5094.0,326.0,954.0
205.0,1.032745592,5143.0,285.0,1290.0
248.0,1.037656904,5891.0,353.0,1328.0
249.0,1.041841004,6053.0,346.0,955.0
235.0,1.002132196,5488.0,393.0,1206.0
234.0,1.051685393,5899.0,365.0,1363.0
232.0,1.026548673,5719.0,339.0,789.0
246.0,1.020746888,5743.0,348.0,927.0
211.0,1.039408867,5130.0,309.0,1241.0
211.0,1.011990408,5606.0,285.0,701.0
246.0,1.035789474,5607.0,312.0,1279.0
237.0,1.019354839,5607.0,316.0,1449.0
208.0,1.050505051,4742.0,354.0,1270.0
255.0,1.017964072,5196.0,388.0,819.0
236.0,1.058295964,5887.0,414.0,1207.0
232.0,1.006507592,5955.0,400.0,1145.0
224.0,1.032258065,6117.0,371.0,1529.0
218.0,1.025882353,5621.0,341.0,1057.0
257.0,1.023904382,6585.0,324.0,1151.0
268.0,1.017077799,6698.0,363.0,1288.0
200.0,1.023017903,4917.0,356.0,746.0
229.0,1.062645012,5355.0,317.0,1107.0
225.0,1.018099548,5304.0,398.0,1458.0
220.0,1.006864989,5792.0,313.0,835.0
239.0,1.034632035,5325.0,339.0,1279.0
244.0,1.033898305,5808.0,298.0,1238.0
212.0,1.014354067,4893.0,351.0,890.0
200.0,1.002506266,5041.0,353.0,729.0
247.0,1.020661157,6055.0,360.0,1080.0
231.0,1.008733624,5813.0,340.0,1084.0
211.0,1.098958333,4951.0,319.0,1299.0
219.0,1.068292683,4853.0,340.0,1010.0
190.0,1.038251366,4446.0,311.0,968.0
217.0,1.06372549,4999.0,334.0,782.0
215.0,1.041162228,4887.0,329.0,798.0
206.0,1.08994709,4879.0,297.0,1100.0
209.0,1.01703163,5319.0,341.0,900.0
209.0,1.0,5642.0,370.0,1401.0
247.0,1.018556701,5821.0,361.0,1104.0
241.0,1.008368201,6183.0,333.0,1214.0
217.0,1.040767386,4778.0,355.0,1051.0
240.0,1.083521445,5245.0,357.0,1002.0
207.0,1.053435115,5120.0,351.0,966.0
204.0,1.088,5283.0,321.0,1049.0
227.0,1.041284404,5704.0,297.0,1177.0
227.0,1.015659955,5519.0,303.0,1225.0
246.0,1.100671141,5024.0,331.0,904.0
230.0,1.097852029,5453.0,322.0,1052.0
213.0,1.014285714,5456.0,357.0,1174.0
246.0,1.020746888,5948.0,301.0,1016.0
242.0,1.023255814,6175.0,356.0,1264.0
250.0,1.068376068,6144.0,259.0,1422.0
263.0,1.003816794,6797.0,266.0,973.0
236.0,1.035087719,5548.0,301.0,959.0
225.0,1.063829787,6002.0,292.0,1609.0
245.0,1.025104603,5671.0,342.0,1419.0
211.0,1.014423077,5957.0,324.0,1585.0
234.0,1.002141328,5317.0,358.0,820.0
209.0,1.047619048,4869.0,327.0,759.0
224.0,1.032258065,5684.0,348.0,1098.0
