makespan,loadBalance,flowtime,communicationCost,waitingTime
31.0,1.328571429,154.0,30.0,43.0
24.0,1.142857143,120.0,34.0,37.0
25.0,1.25,127.0,30.0,24.0
24.0,1.309090909,104.0,23.0,20.0
26.0,1.418181818,106.0,27.0,29.0
24.0,1.263157895,114.0,30.0,30.0
21.0,1.235294118,99.0,20.0,22.0
30.0,1.232876712,139.0,29.0,40.0
25.0,1.704545455,112.0,28.0,21.0
41.0,1.447058824,197.0,19.0,85.0
27.0,1.306451613,147.0,30.0,54.0
28.0,1.909090909,127.0,10.0,38.0
25.0,1.339285714,112.0,30.0,25.0
30.0,1.666666667,130.0,19.0,27.0
23.0,1.189655172,108.0,36.0,30.0
23.0,1.169491525,109.0,35.0,31.0
19.0,1.325581395,105.0,15.0,25.0
27.0,1.446428571,108.0,8.0,23.0
23.0,1.604651163,113.0,15.0,20.0
22.0,1.32,110.0,27.0,31.0
29.0,1.279411765,131.0,23.0,36.0
26.0,1.2,116.0,34.0,21.0
23.0,1.326923077,99.0,29.0,20.0
26.0,1.444444444,142.0,12.0,40.0
32.0,1.215189873,133.0,33.0,30.0
26.0,1.444444444,143.0,20.0,41.0
26.0,1.278688525,127.0,30.0,36.0
28.0,1.272727273,122.0,34.0,35.0
23.0,1.189655172,106.0,34.0,28.0
28.0,1.75,156.0,23.0,50.0
26.0,1.529411765,121.0,28.0,39.0
23.0,1.301886792,107.0,27.0,26.0
32.0,1.215189873,145.0,19.0,40.0
22.0,1.534883721,104.0,20.0,32.0
28.0,1.217391304,122.0,28.0,22.0
27.0,2.076923077,137.0,8.0,37.0
36.0,1.588235294,164.0,26.0,53.0
33.0,1.356164384,153.0,22.0,48.0
26.0,1.344827586,111.0,19.0,27.0
30.0,1.232876712,130.0,32.0,29.0
37.0,1.180851064,171.0,18.0,58.0
24.0,1.285714286,111.0,27.0,28.0
24.0,1.469387755,112.0,15.0,31.0
29.0,1.260869565,131.0,34.0,28.0
29.0,1.611111111,143.0,31.0,34.0
29.0,1.318181818,121.0,25.0,26.0
23.0,1.301886792,107.0,29.0,21.0
34.0,1.619047619,148.0,18.0,51.0
28.0,1.4,132.0,20.0,25.0
30.0,1.698113208,134.0,21.0,27.0
20.0,1.395348837,97.0,22.0,15.0
25.0,1.666666667,122.0,22.0,22.0
23.0,1.408163265,99.0,21.0,21.0
31.0,1.660714286,129.0,14.0,40.0
28.0,1.473684211,120.0,26.0,41.0
28.0,1.4,116.0,24.0,29.0
23.0,1.38,94.0,25.0,16.0
25.0,1.339285714,117.0,24.0,22.0
23.0,1.352941176,99.0,29.0,20.0
30.0,2.368421053,137.0,15.0,57.0
25.0,1.829268293,127.0,20.0,29.0
30.0,1.232876712,146.0,35.0,46.0
23.0,1.408163265,98.0,20.0,17.0
26.0,1.147058824,134.0,37.0,41.0
28.0,1.2,135.0,36.0,39.0
29.0,1.526315789,138.0,26.0,43.0
25.0,1.442307692,119.0,31.0,35.0
23.0,1.38,94.0,29.0,16.0
26.0,1.322033898,111.0,21.0,24.0
26.0,1.902439024,117.0,16.0,36.0
19.0,1.1875,96.0,18.0,20.0
22.0,1.269230769,119.0,17.0,26.0
20.0,1.714285714,101.0,5.0,24.0
20.0,1.395348837,97.0,22.0,15.0
22.0,1.375,100.0,23.0,24.0
30.0,1.343283582,133.0,34.0,33.0
24.0,1.285714286,110.0,28.0,23.0
30.0,1.232876712,149.0,27.0,50.0
25.0,1.363636364,126.0,24.0,27.0
23.0,1.301886792,102.0,28.0,20.0
25.0,1.666666667,121.0,19.0,28.0
26.0,1.5,106.0,25.0,20.0
23.0,1.189655172,112.0,31.0,31.0
32.0,1.655172414,142.0,24.0,47.0
26.0,1.529411765,112.0,28.0,29.0
24.0,1.756097561,114.0,25.0,26.0
26.0,1.3,141.0,31.0,40.0
26.0,1.258064516,111.0,32.0,27.0
26.0,1.5,130.0,26.0,25.0
23.0,1.38,98.0,19.0,16.0
25.0,1.271186441,128.0,30.0,29.0
23.0,1.277777778,95.0,27.0,21.0
26.0,1.344827586,143.0,26.0,42.0
25.0,1.442307692,113.0,24.0,18.0
26.0,1.114285714,131.0,20.0,36.0
27.0,1.472727273,109.0,33.0,25.0
34.0,1.342105263,152.0,30.0,45.0
34.0,1.728813559,162.0,30.0,64.0
30.0,1.232876712,140.0,19.0,28.0
16.0,1.170731707,89.0,11.0,16.0
24.0,1.358490566,132.0,14.0,35.0
29.0,1.260869565,138.0,20.0,41.0
25.0,1.315789474,104.0,25.0,21.0
19.0,1.325581395,93.0,22.0,15.0
38.0,1.480519481,177.0,34.0,61.0
27.0,1.472727273,120.0,27.0,26.0
35.0,1.381578947,163.0,22.0,56.0
23.0,1.301886792,123.0,31.0,29.0
25.0,1.363636364,141.0,24.0,37.0
30.0,1.607142857,132.0,36.0,33.0
28.0,1.448275862,111.0,14.0,28.0
25.0,1.530612245,118.0,23.0,27.0
32.0,1.811320755,155.0,20.0,52.0
31.0,1.430769231,141.0,30.0,42.0
31.0,1.256756757,141.0,35.0,42.0
29.0,1.191780822,129.0,20.0,26.0
23.0,1.232142857,104.0,26.0,32.0
26.0,1.344827586,105.0,31.0,25.0
23.0,1.326923077,99.0,27.0,18.0
25.0,1.19047619,140.0,30.0,41.0
33.0,1.8,143.0,19.0,48.0
23.0,1.352941176,103.0,26.0,20.0
30.0,1.232876712,134.0,30.0,35.0
28.0,1.3125,127.0,25.0,31.0
28.0,1.448275862,129.0,23.0,25.0
29.0,1.242857143,131.0,31.0,34.0
30.0,1.343283582,126.0,25.0,35.0
23.0,1.277777778,103.0,19.0,18.0
23.0,1.725,113.0,19.0,23.0
24.0,1.358490566,111.0,28.0,31.0
29.0,1.5,126.0,29.0,28.0
24.0,1.2,115.0,26.0,31.0
19.0,1.325581395,90.0,17.0,13.0
29.0,1.426229508,123.0,31.0,33.0
24.0,1.263157895,105.0,31.0,22.0
20.0,1.395348837,89.0,17.0,16.0
28.0,1.647058824,113.0,15.0,36.0
32.0,1.655172414,168.0,13.0,55.0
21.0,1.431818182,101.0,16.0,28.0
23.0,1.254545455,103.0,29.0,25.0
34.0,1.64516129,166.0,13.0,57.0
31.0,1.192307692,153.0,37.0,40.0
23.0,1.254545455,111.0,25.0,26.0
29.0,1.474576271,134.0,20.0,35.0
24.0,1.411764706,123.0,14.0,26.0
30.0,1.184210526,151.0,27.0,44.0
28.0,1.423728814,122.0,18.0,26.0
28.0,2.153846154,140.0,19.0,42.0
31.0,1.388059701,126.0,32.0,45.0
26.0,1.444444444,108.0,27.0,31.0
23.0,1.4375,108.0,25.0,26.0
28.0,1.68,126.0,18.0,26.0
26.0,1.344827586,131.0,26.0,30.0
32.0,1.185185185,151.0,34.0,51.0
28.0,1.423728814,126.0,18.0,40.0
24.0,1.411764706,114.0,18.0,31.0
26.0,1.344827586,106.0,30.0,26.0
29.0,1.5,136.0,28.0,30.0
20.0,1.153846154,100.0,15.0,24.0
37.0,1.180851064,164.0,35.0,51.0
19.0,1.390243902,98.0,23.0,15.0
26.0,1.344827586,106.0,36.0,21.0
30.0,1.5,123.0,34.0,33.0
30.0,1.451612903,149.0,15.0,30.0
